k,Ev,mes-ano,ONI
1059.8857442348008,0.36844644960593115,Jul-49,-0.30721456
1041.6553983228512,0.34043188082937437,Aug-49,-0.36240476
1139.0987945492664,0.33554853861220196,Sep-49,-0.4409121
1202.0099580712788,0.32005069052203344,Oct-49,-0.42093292
1200.9496855345913,0.32287522099970734,Nov-49,-0.39732447
1162.9924004192872,0.3432543559254426,Dec-49,-0.3695269
1207.2269392033543,0.32337188578432463,Jan-50,-0.42945546
1144.0445492662475,0.3102895572913181,Feb-50,-0.58291996
1151.9101153039833,0.30223845447781755,Mar-50,-0.7054761
1158.120283018868,0.3045360191699333,Apr-50,-0.6320081
1153.0136268343815,0.302109684866979,May-50,-0.4688133
1114.6352201257862,0.3006607687911028,Jun-50,-0.34778956
1159.894392033543,0.3368088038175293,Jul-50,-0.47205257
1230.7012578616352,0.32123943483882866,Aug-50,-0.5834399
1296.545073375262,0.326804206052826,Sep-50,-0.61734176
1306.0927672955975,0.3256368301294972,Oct-50,-0.5441122
1318.4250524109016,0.3324962700775788,Nov-50,-0.48841736
1248.8495807127883,0.3271408072564901,Dec-50,-0.48780945
1237.262316561845,0.32310711285757165,Jan-51,-0.5073065
1251.731394129979,0.32328080439150186,Feb-51,-0.6580448
1237.5314465408806,0.3196924167296634,Mar-51,-0.9827119
1266.3244234800839,0.324567153260539,Apr-51,-1.1709881
1255.7316561844864,0.3280263379876777,May-51,-1.1941218
1243.9800838574424,0.32940453182582474,Jun-51,-1.1074102
1308.1189727463313,0.3626808842407624,Jul-51,-1.0655986
1317.1307651991615,0.3355069690631313,Aug-51,-1.0678246
1504.252358490566,0.3653366737335304,Sep-51,-1.0552858
1592.5107442348008,0.3768828536555554,Oct-51,-1.0058904
1530.4698637316562,0.3668069476722345,Nov-51,-0.909525
1525.0136268343815,0.3680941423659751,Dec-51,-0.7921984
1590.7303459119496,0.3791656187313242,Jan-52,-0.7434943
1651.370283018868,0.38754565472710756,Feb-52,-0.8218486
1694.4229559748428,0.39631031776183895,Mar-52,-0.9429949
1763.9855870020965,0.4072568409547946,Apr-52,-0.973419
1696.2403039832286,0.3923694064484763,May-52,-0.9218535
1504.3149895178196,0.3605842514881458,Jun-52,-0.7872021
1329.8778825995807,0.3297866902471258,Jul-52,-0.6685787
1225.6325995807128,0.3187724568171289,Aug-52,-0.54109305
1164.370283018868,0.32807960815082265,Sep-52,-0.38350102
